Date,Adj Close,rtns,rtns-r_f,equity,equity_curve
08/07/2019,2975.949951,0,0,100000,1
09/07/2019,2979.629883,0.001236557,-0.018763443,100123.6557,1.001236557
10/07/2019,2993.070068,0.004510689,-0.015489311,100575.2824,1.005752824
11/07/2019,2999.909912,0.002285227,-0.017714773,100805.1198,1.008051198
12/07/2019,3013.77002,0.004620175,-0.015379825,101270.857,1.01270857
15/07/2019,3014.300049,0.000175869,-0.019824131,101288.6674,1.012886674
16/07/2019,3004.040039,-0.003403779,-0.023403779,100943.9032,1.009439032
17/07/2019,2984.419922,-0.006531244,-0.026531244,100284.614,1.00284614
18/07/2019,2995.110107,0.003581998,-0.016418002,100643.8333,1.006438333
19/07/2019,2976.610107,-0.006176735,-0.026176735,100022.183,1.00022183
22/07/2019,2985.030029,0.002828695,-0.017171305,100305.1153,1.003051153
23/07/2019,3005.469971,0.006847483,-0.013152517,100991.9528,1.009919528
24/07/2019,3019.560059,0.004688148,-0.015311852,101465.4181,1.014654181
25/07/2019,3003.669922,-0.005262401,-0.025262401,100931.4663,1.009314663
26/07/2019,3025.860107,0.007387691,-0.012612309,101677.1168,1.016771168
29/07/2019,3020.969971,-0.001616114,-0.021616114,101512.7949,1.015127949
30/07/2019,3013.179932,-0.002578655,-0.022578655,101251.0285,1.012510285
31/07/2019,2980.379883,-0.010885526,-0.030885526,100148.8577,1.001488577
01/08/2019,2953.560059,-0.008998794,-0.028998794,99247.63883,0.992476388
02/08/2019,2932.050049,-0.00728274,-0.02728274,98524.84408,0.985248441
05/08/2019,2844.73999,-0.02977782,-0.04977782,95590.98899,0.95590989
06/08/2019,2881.77002,0.013017017,-0.006982983,96835.29856,0.968352986
07/08/2019,2883.97998,0.000766876,-0.019233124,96909.55922,0.969095592
08/08/2019,2938.090088,0.018762304,-0.001237696,98727.80579,0.987278058
09/08/2019,2918.649902,-0.006616607,-0.026616607,98074.56275,0.980745627
12/08/2019,2882.699951,-0.012317322,-0.032317322,96866.54677,0.968665468
13/08/2019,2926.320068,0.015131688,-0.004868312,98332.30115,0.983323012
14/08/2019,2840.600098,-0.029292753,-0.049292753,95451.87738,0.954518774
15/08/2019,2847.600098,0.002464268,-0.017535732,95687.09639,0.956870964
16/08/2019,2888.679932,0.014426125,-0.005573875,97067.49037,0.970674904
19/08/2019,2923.649902,0.012105865,-0.007894135,98242.57632,0.982425763
20/08/2019,2900.51001,-0.007914727,-0.027914727,97465.01311,0.974650131
21/08/2019,2924.429932,0.008246799,-0.011753201,98268.78745,0.982687875
22/08/2019,2922.949951,-0.000506075,-0.020506075,98219.05607,0.982190561
23/08/2019,2847.110107,-0.025946337,-0.045946337,95670.63136,0.956706314
26/08/2019,2878.379883,0.010982988,-0.009017012,96721.38075,0.967213807
27/08/2019,2869.159912,-0.003203181,-0.023203181,96411.56468,0.964115647
28/08/2019,2887.939941,0.00654548,-0.01345452,97042.62466,0.970426247
29/08/2019,2924.580078,0.012687292,-0.007312708,98273.83276,0.982738328
30/08/2019,2926.459961,0.000642787,-0.019357213,98337.00194,0.983370019
03/09/2019,2906.27002,-0.0068991,-0.0268991,97658.56509,0.976585651
04/09/2019,2937.780029,0.010842079,-0.009157921,98717.38696,0.98717387
05/09/2019,2976,0.013009814,-0.006990186,100001.6818,1.000016818
06/09/2019,2978.709961,0.000910605,-0.019089395,100092.7438,1.000927438
09/09/2019,2978.429932,-9.40E-05,-0.02009401,100083.3341,1.000833341
10/09/2019,2979.389893,0.000322304,-0.019677696,100115.5914,1.001155914
11/09/2019,3000.929932,0.007229681,-0.012770319,100839.3952,1.008393952
12/09/2019,3009.570068,0.002879153,-0.017120847,101129.7272,1.011297272
13/09/2019,3007.389893,-0.000724414,-0.020724414,101056.4674,1.010564674
16/09/2019,2997.959961,-0.003135587,-0.023135587,100739.5961,1.007395961
